Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:52.218] 99978, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.218] 99990, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.218] 100002, 0.67, 0.39, -9.38
[2024-08-14 10:14:52.238] 100014, 0.63, 0.39, -9.38
[2024-08-14 10:14:52.238] 100026, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.238] 100038, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.238] 100050, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.238] 100062, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.238] 100074, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.238] 100086, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.238] 100098, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.238] 100110, 0.71, 0.39, -9.49
[2024-08-14 10:14:52.238] 100122, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.238] 100134, 0.59, 0.39, -9.38
[2024-08-14 10:14:52.238] 100146, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.242] 100158, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.242] 100170, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.242] 100182, 0.67, 0.31, -9.49
[2024-08-14 10:14:52.242] 100194, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.242] 100206, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.242] 100218, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.242] 100230, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.268] 100242, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.268] 100254, 0.63, 0.39, -9.49
[2024-08-14 10:14:52.268] 100266, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.268] 100278, 0.59, 0.43, -9.45
[2024-08-14 10:14:52.268] 100290, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.268] 100302, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.268] 100314, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.268] 100326, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.268] 100338, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.268] 100350, 0.67, 0.35, -9.45
